drg_id,drg_def,provider_id,provider_name,total_discharges,avg_covered_charges,avg_total_payments
66,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,17,14342.52941,5579.058824
190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140001,GRAHAM HOSPITAL ASSOCIATION,23,16520.21739,8356.869565
191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140001,GRAHAM HOSPITAL ASSOCIATION,21,14463.14286,6919
192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,75,11380.98667,5095.32
193,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140001,GRAHAM HOSPITAL ASSOCIATION,16,23061.5625,9239.3125
194,194 - SIMPLE PNEUMONIA & PLEURISY W CC,140001,GRAHAM HOSPITAL ASSOCIATION,60,14645.96667,7219.65
195,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,34,11795.61765,5069.941176
292,292 - HEART FAILURE & SHOCK W CC,140001,GRAHAM HOSPITAL ASSOCIATION,25,14244.64,7031.08
293,293 - HEART FAILURE & SHOCK W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,32,10979.875,4864.9375
309,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,140001,GRAHAM HOSPITAL ASSOCIATION,14,16172.5,5633.071429
310,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,30,11462.9,4073.766667
312,312 - SYNCOPE & COLLAPSE,140001,GRAHAM HOSPITAL ASSOCIATION,19,13691.57895,5031.263158
379,379 - G.I. HEMORRHAGE W/O CC/MCC,140001,GRAHAM HOSPITAL ASSOCIATION,16,13879.5625,4959.5
392,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",140001,GRAHAM HOSPITAL ASSOCIATION,34,13400.05882,5075.294118
470,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,140001,GRAHAM HOSPITAL ASSOCIATION,43,40713.4186,15746.32558
603,603 - CELLULITIS W/O MCC,140001,GRAHAM HOSPITAL ASSOCIATION,31,10956.09677,5826.16129
641,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",140001,GRAHAM HOSPITAL ASSOCIATION,40,12022.75,4884.325
683,683 - RENAL FAILURE W CC,140001,GRAHAM HOSPITAL ASSOCIATION,12,11828,7005.833333
690,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,140001,GRAHAM HOSPITAL ASSOCIATION,64,10897.67188,5659.78125
812,812 - RED BLOOD CELL DISORDERS W/O MCC,140001,GRAHAM HOSPITAL ASSOCIATION,12,12632.08333,5456.5
871,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,140001,GRAHAM HOSPITAL ASSOCIATION,14,17226.14286,12722.21429
872,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,140001,GRAHAM HOSPITAL ASSOCIATION,21,16541.09524,7657.047619
65,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,140002,ALTON MEMORIAL HOSPITAL,23,21170.08696,6131.652174
66,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,17,16766.35294,4369.294118
69,069 - TRANSIENT ISCHEMIA,140002,ALTON MEMORIAL HOSPITAL,23,15772.30435,4019
101,101 - SEIZURES W/O MCC,140002,ALTON MEMORIAL HOSPITAL,26,18468.88462,4185.846154
177,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,140002,ALTON MEMORIAL HOSPITAL,66,46732.60606,11164.69697
178,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,140002,ALTON MEMORIAL HOSPITAL,24,25946.375,7905.375
189,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140002,ALTON MEMORIAL HOSPITAL,67,26577.41791,7009.731343
190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140002,ALTON MEMORIAL HOSPITAL,34,25245.82353,6464.705882
191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140002,ALTON MEMORIAL HOSPITAL,20,22857.5,5347.55
192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,13,16226.30769,3862.076923
