provider_id,N_P_D_S_T_C,R_D_S_T_C,L_E_D_S_T_C,H_E_D_S_T_C,N_P_C_L,R_C_L,L_E_C_L,H_E_C_L,N_P_B_C,R_B_C
20001,142,98.62,64.83,132.41,7817,0.19,0,0.44,3287,2.87
20006,27,117.98,67.84,168.12,2854,0.25,0,0.62,682,3.05
20008,6,Not Available,Not Available,Not Available,1060,0.32,0,0.75,214,3.54
20012,32,114.94,67.31,162.57,2390,0.33,0,0.7,646,2.94
20017,80,130.63,89.53,171.73,2832,0.3,0,0.65,1832,5.47
20018,Not Available,Not Available,Not Available,Not Available,526,0.33,0,0.76,Not Available,Not Available
20024,7,Not Available,Not Available,Not Available,1458,0.3,0,0.71,366,4.87
20026,52,128.06,83.18,172.94,2838,0.47,0.12,0.82,877,3.66
20027,Not Available,Not Available,Not Available,Not Available,531,0.32,0,0.75,65,4.32
21301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21308,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21313,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10001,157,140.58,106.16,175,15149,0.32,0.08,0.56,4941,1.47
10005,29,123.92,74.29,173.55,4467,0.3,0,0.65,689,4.7
10006,110,146.33,106.95,185.71,9962,0.5,0.23,0.77,2805,3.22
10007,10,Not Available,Not Available,Not Available,2176,0.3,0,0.71,173,6.11
10008,Not Available,Not Available,Not Available,Not Available,673,0.33,0,0.76,28,4.52
10011,173,143.09,106.09,180.09,10726,0.5,0.23,0.77,3776,4.58
10012,25,124.21,74.78,173.64,3238,0.33,0,0.7,753,2.5
10016,91,145.74,104.58,186.9,6551,0.21,0,0.5,2239,3.98
10018,3,Not Available,Not Available,Not Available,93,0.34,0,0.77,73,4.36
10019,79,122.64,78.6,166.68,5638,0.27,0,0.6,1535,6.01
10021,8,Not Available,Not Available,Not Available,1559,0.27,0,0.66,166,5.95
