provider_id,mr_h_a,lme_mr_h_a,ume_mr_h_a,num_p_mr_ha,mr_hf,lme_mr_hf,ume_mr_hf,num_p_mr_hf,mr_p,lme_mr_pn,ume_mr_pn,num_p_mr_pn,readm_ha,lreadma_ha,ureadma_ha,num_p_readm_ha,readma_hf,lreadmae_hf,ureadmae_hf,num_p_readma_hf,readma_pn,lreadma_pn,ureadma_pn,num_p_readma_pn
140001,,,,15,11.5,8.5,15.4,142,15.7,12.3,20.1,182,,,,10,25.9,21.8,30.4,164,20,16.3,24.1,183
140002,13.7,10.5,17.6,135,11.1,8.9,13.8,303,12.9,10.6,15.6,331,18.4,14.9,22.6,108,23.5,20.3,27.2,346,18,15.3,21.2,340
140007,12.6,10.6,14.9,516,9.2,7.9,10.7,1133,9.2,7.4,11.3,555,22.3,19.6,25.2,532,26.9,24.7,29,1343,21.2,18.4,24,587
140008,14.1,11.4,17.3,237,10.6,8.5,13.1,440,12.5,9.8,15.9,204,19.2,15.9,22.9,221,25.4,22.3,28.7,481,18.7,15.4,22.3,190
140010,13.8,12.1,15.8,722,10.7,9.6,12.1,1621,9.4,8.2,10.7,1475,17.9,15.7,20.5,694,23.6,21.8,25.5,1945,19.3,17.5,21.2,1537
140011,15.9,12.4,20,73,12.3,9.8,15.4,299,15,12.3,18,383,21.1,17.1,25.6,56,25.2,21.9,28.6,349,19.8,17,22.8,405
140012,14.7,11.3,18.9,123,12.1,9.3,15.7,182,11.2,8.3,15,165,19.7,15.8,23.9,103,28.4,24.3,32.9,260,17.8,14.3,21.9,171
140013,15.9,12.3,20.3,114,14.1,11.4,17.3,317,15.3,12.7,18.1,410,19,15.3,23.4,110,24.8,21.4,28.6,345,20.7,17.6,24,397
140015,15.2,12.6,18,381,13.4,11.4,15.7,656,12.7,10.9,14.5,882,19.7,17,23,405,22.7,20.5,25.5,791,18.9,16.7,21.3,916
140018,15.5,12.1,19.4,97,11.8,8.6,15.9,133,13.2,9.9,17.3,103,21.2,17.3,25.7,100,24.2,20.4,28.7,174,20.1,16.4,24.1,113
140019,,,,14,12.4,9.4,15.9,170,13.1,9.7,17,153,,,,7,28,23.9,32.2,208,18.5,15.1,22.6,166
140026,16.1,12.5,20.5,64,10.3,7.7,13.3,172,14.5,11.7,17.8,265,19.9,16,24.4,46,25.1,21.1,29.8,202,21.6,17.7,25.7,265
