provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hrr,total_discharges,count_drgs,average_covered_charges,average_total_payments,latitude,longitude
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage,660,,34979.9364644828,19966.0968389655,64.8338862,-147.7394414
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,793,,38337.5729634375,11597.5797205938,61.562971,-149.2578179
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,651,,55776.2164423077,13338.5188183462,61.2097761,-149.8289265
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,752,,25327.5911013333,16441.8983093939,61.182708,-149.800093
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,2613,,53042.5900809211,14905.0269766184,60.9490067,-149.1703257
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,AK - Anchorage,137,,7646.0264313333,9939.5570768333,60.7922222,-161.7558333
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,344,,26814.3468144444,11535.5572305,60.4931491,-151.0777007
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,AK - Anchorage,174,,22315.11977,11915.3513054,58.3299147,-134.4649981
20027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,AK - Anchorage,18,,10425.55556,7487,57.0522518,-135.3559715
350063,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,PO BOX 160,BELCOURT,ND,58316,ND - Grand Forks,25,,10635.3076925,8076.6602565,48.8391712,-99.7448688
500030,ST JOSEPH MEDICAL CENTER,2901 SQUALICUM PARKWAY,BELLINGHAM,WA,98225,WA - Seattle,3504,,30951.5146491765,10199.1223481412,48.77396,-122.47323
270074,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760",BROWNING,MT,59417,MT - Great Falls,75,,8972.1192792,6966.5247392,48.5569174,-113.0134175
270032,NORTHERN MONTANA HOSPITAL,30 13TH ST,HAVRE,MT,59501,MT - Great Falls,188,,13485.3612711818,6711.4998641818,48.5368179,-109.685773
500007,ISLAND HOSPITAL,1211  24TH STREET,ANACORTES,WA,98221,WA - Everett,698,,12458.3169410357,6700.7253321072,48.500659,-122.615839
500003,SKAGIT VALLEY HOSPITAL,1415 KINCAID STREET,MOUNT VERNON,WA,98274,WA - Everett,1927,,30076.642662623,8142.6606761312,48.417892,-122.323702
350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,ND - Minot,2011,,20347.4539779844,9415.3161706719,48.2325788,-101.2884279
270051,KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,MT,59901,MT - Missoula,1722,,21700.4695430656,8077.1170113935,48.2161415,-114.3227333
270087,HEALTH CENTER NORTHWEST,320 SUNNYVIEW LANE,KALISPELL,MT,59901,MT - Missoula,86,,16775.2907,11772.2907,48.216048,-114.3225476
500060,CASCADE VALLEY HOSPITAL,330 S STILLAGUAMISH AVE,ARLINGTON,WA,98223,WA - Everett,114,,16198.0448101667,8252.397185,48.188804,-122.118539
500072,OLYMPIC MEDICAL CENTER,939 CAROLINE ST,PORT ANGELES,WA,98362,WA - Seattle,1696,,15020.9302838621,8327.3889776207,48.1150352,-123.4151852
500014,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1321 COLBY AVENUE,EVERETT,WA,98201,WA - Everett,4278,,37480.23895,11181.6653446395,48.0011219,-122.2056484
350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,3033,,23439.2032919231,10046.1829105769,47.9102511,-97.0666915
500084,VALLEY GENERAL HOSPITAL,14701 179TH SE,MONROE,WA,98272,WA - Everett,123,,17670.5893457143,8048.7203735714,47.863846,-121.988906
500026,SWEDISH EDMONDS HOSPITAL,21601 76TH AVENUE WEST,EDMONDS,WA,98026,WA - Seattle,2037,,35826.8826863934,9588.5598797869,47.8032899,-122.334196
500124,EVERGREEN HOSPITAL MEDICAL CENTER,12040 NE 128TH STREET,KIRKLAND,WA,98034,WA - Seattle,2790,,34271.3578387654,10562.3120790617,47.7161332,-122.1771068
130066,NORTHWEST SPECIALTY HOSPITAL,1593 EAST POLSTON AVENUE,POST FALLS,ID,83854,WA - Spokane,102,,51318.9246333333,15137.6777766667,47.7153594,-116.9247134
500001,NORTHWEST HOSPITAL,1550 NORTH 115TH STREET,SEATTLE,WA,98133,WA - Seattle,2324,,35359.0674402899,9490.6076955797,47.714681,-122.337616
500077,PROVIDENCE HOLY FAMILY HOSPITAL,5633 NORTH LIDGERWOOD,SPOKANE,WA,99208,WA - Spokane,2240,,28228.6720278688,9425.4884717541,47.709693,-117.407216
130049,KOOTENAI MEDICAL CENTER,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,2665,,23178.2147409737,9379.2651513421,47.6955773,-116.7932108
500119,VALLEY HOSPITAL,12606 EAST MISSION AVENUE,SPOKANE,WA,99216,WA - Spokane,1625,,23127.96472714,8327.81439084,47.6716559,-117.2352801
500044,DEACONESS HOSPITAL,W 800 FIFTH AVENUE,SPOKANE,WA,99210,WA - Spokane,2317,,33472.3291375833,11003.623911125,47.651911,-117.423294
500008,UNIVERSITY OF WASHINGTON MEDICAL CTR,1959 NE PACIFIC ST,SEATTLE,WA,98195,WA - Seattle,1757,,36806.4439998246,19665.9690440702,47.6492873,-122.3068507
500054,PROVIDENCE SACRED HEART MEDICAL CENTER,101 WEST 8TH AVENUE,SPOKANE,WA,99204,WA - Spokane,5161,,38931.9278335556,12319.7097076444,47.648395,-117.4132932
500051,OVERLAKE HOSPITAL MEDICAL CENTER,1035-116TH AVE NE,BELLEVUE,WA,98004,WA - Seattle,3452,,30330.4737015854,10219.7399653415,47.6194293,-122.186046
500005,VIRGINIA MASON MEDICAL CENTER,1100 NINTH AVENUE (PO BOX 900),SEATTLE,WA,98111,WA - Seattle,2312,,29680.3721281385,14062.0766192769,47.609483,-122.327865
500027,SWEDISH MEDICAL CENTER,747 BROADWAY,SEATTLE,WA,98122,WA - Seattle,4782,,49162.3493709315,12561.5837046575,47.608695,-122.321156
500025,SWEDISH MEDICAL CENTER/CHERRY HILL,500 17TH AVENUE,SEATTLE,WA,98122,WA - Seattle,2007,,54429.0656734091,11060.8895801591,47.606295,-122.3114348
500064,HARBORVIEW MEDICAL CENTER,325 9TH AVENUE,SEATTLE,WA,98104,WA - Seattle,1937,,36389.6991945942,15596.8635454638,47.6035148,-122.3230497
500039,HARRISON MEDICAL CENTER,2520 CHERRY AVENUE,BREMERTON,WA,98310,WA - Seattle,4470,,42572.2990265217,10962.2177576087,47.582951,-122.625055
240084,VIRGINIA REGIONAL MEDICAL CENTER,901 9TH STREET NORTH,VIRGINIA,MN,55792,MN - Duluth,348,,12672.4332217059,7174.3596361177,47.531018,-92.5558
240100,SANFORD BEMIDJI MEDICAL CENTER,1300 ANNE ST NW,BEMIDJI,MN,56601,ND - Fargo/Moorhead MN,977,,18407.0646981389,7772.4879139722,47.503895,-94.897757
270012,BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS,MT,59405,MT - Great Falls,2601,,24243.9122738442,9923.7912381429,47.492031,-111.260867
270086,GREAT FALLS CLINIC MEDICAL CENTER,1411 9TH ST S,GREAT FALLS,MT,59405,MT - Great Falls,116,,32187.24138,12232.39655,47.4896009,-111.2921092
