Provider Number,provider_id,,,,Provider Number
Mortality Rates from Heart Attack,mr_h_a,,,,Hospital Name
Lower Mortality Estimate - Mortality Rates from Heart Attack,lme_mr_h_a,,,,Address 1
Upper Mortality Estimate - Mortality Rates from Heart Attack,ume_mr_h_a,,,,Address 2
Number of Patients - Mortality Rates from Heart Attack,num_p_mr_ha,,,,Address 3
Mortality Rates from Heart Failure,mr_hf,,,,City
Lower Mortality Estimate - Mortality Rates from Heart Failure,lme_mr_hf,,,,State
Upper Mortality Estimate - Mortality Rates from Heart Failure,ume_mr_hf,,,,ZIP Code
Number of Patients - Mortality Rates from Heart Failure,num_p_mr_hf,,,,County Name
Mortality Rates from Pneumonia,mr_p,,,,Phone Number
Lower Mortality Estimate - Mortality Rates from Pneumonia,lme_mr_pn,,,,Hospital 30-Day Death (Mortality) Rates from Heart Attack
Upper Mortality Estimate - Mortality Rates from Pneumonia,ume_mr_pn,,,,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack
Number of Patients - Mortality Rates from Pneumonia,num_p_mr_pn,,,,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack
Readmission Rates from Heart Attack,readm_ha,,,,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack
Lower Readmission Estimate - Readmission Rates from Heart Attack,lreadma_ha,,,,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack
Upper Readmission Estimate - Readmission Rates from Heart Attack,ureadma_ha,,,,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack
Number of Patients - Readmission Rates from Heart Attack,num_p_readm_ha,,,,Hospital 30-Day Death (Mortality) Rates from Heart Failure
Readmission Rates from Heart Failure,readma_hf,,,,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure
Lower Readmission Estimate - Readmission Rates from Heart Failure,lreadmae_hf,,,,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure
Upper Readmission Estimate - Readmission Rates from Heart Failure,ureadmae_hf,,,,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure
Number of Patients - Readmission Rates from Heart Failure,num_p_readma_hf,,,,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure
Readmission Rates from Pneumonia,readma_pn,,,,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure
Lower Readmission Estimate - Readmission Rates from Pneumonia,lreadma_pn,,,,Hospital 30-Day Death (Mortality) Rates from Pneumonia
Upper Readmission Estimate - Readmission Rates from Pneumonia,ureadma_pn,,,,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
Number of Patients - Readmission Rates from Pneumonia,num_p_readma_pn,,,,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
,,,,,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
,,,,,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia
,,,,,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia
,,,,,Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Footnote - Hospital 30-Day Readmission Rates from Heart Attack
,,,,,Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Footnote - Hospital 30-Day Readmission Rates from Heart Failure
,,,,,Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
,,,,,Location
