provider_id,doc_comm_bad,doc_com_ok,doc_com_good,help_timingbad,help_timing_ok,help_timing_good,pain_ctrl_bad,pain_ctrl_ok,pain_ctrl_good,quiet_no,quiet_usu,quiet_always,recovery_info_yes,recovery_info_no,rating_low,rating_mid,rating_high,recommend_no,recommend_ok,recommend_y,num_surveys,survey_response_rate
140001,0.02,0.12,0.86,0.08,0.27,0.65,0.04,0.22,0.74,0.10,0.34,0.56,0.86,0.14,0.09,0.25,0.66,0.04,0.32,0.64,300 or more,0.35
140002,0.02,0.13,0.85,0.11,0.24,0.65,0.08,0.21,0.71,0.08,0.26,0.66,0.85,0.15,0.05,0.20,0.75,0.03,0.22,0.75,300 or more,0.35
140007,0.06,0.16,0.78,0.13,0.28,0.59,0.09,0.21,0.70,0.11,0.27,0.62,0.85,0.15,0.11,0.17,0.72,0.09,0.18,0.73,300 or more,0.30
140008,0.04,0.13,0.83,0.12,0.25,0.63,0.07,0.25,0.68,0.14,0.32,0.54,0.81,0.19,0.10,0.28,0.62,0.06,0.31,0.63,300 or more,0.30
140010,0.04,0.17,0.79,0.09,0.30,0.61,0.06,0.25,0.69,0.11,0.34,0.55,0.84,0.16,0.06,0.22,0.72,0.03,0.20,0.77,300 or more,0.29
140011,0.05,0.13,0.82,0.09,0.26,0.65,0.08,0.22,0.70,0.11,0.32,0.57,0.85,0.15,0.10,0.18,0.72,0.05,0.21,0.74,300 or more,0.35
140012,0.03,0.17,0.80,0.03,0.23,0.74,0.05,0.22,0.73,0.07,0.34,0.59,0.86,0.14,0.04,0.19,0.77,0.03,0.21,0.76,300 or more,0.39
140013,0.04,0.19,0.77,0.08,0.31,0.61,0.05,0.27,0.68,0.11,0.37,0.52,0.87,0.13,0.07,0.20,0.73,0.04,0.21,0.75,300 or more,0.38
140015,0.05,0.15,0.80,0.06,0.23,0.71,0.05,0.23,0.72,0.13,0.37,0.50,0.88,0.12,0.07,0.22,0.71,0.02,0.29,0.69,300 or more,0.38
140018,0.07,0.21,0.72,0.27,0.31,0.42,0.14,0.26,0.60,0.17,0.32,0.51,0.79,0.21,0.17,0.28,0.55,0.12,0.37,0.51,300 or more,0.28
140019,0.03,0.14,0.83,0.07,0.23,0.70,0.06,0.18,0.76,0.05,0.26,0.69,0.82,0.18,0.03,0.31,0.66,0.02,0.40,0.58,Between 100 and 299,0.47
140026,0.04,0.13,0.83,0.10,0.26,0.64,0.07,0.22,0.71,0.10,0.33,0.57,0.88,0.12,0.11,0.26,0.63,0.05,0.36,0.59,300 or more,0.33
140029,0.04,0.15,0.81,0.12,0.31,0.57,0.07,0.26,0.67,0.14,0.33,0.53,0.86,0.14,0.07,0.24,0.69,0.04,0.20,0.76,300 or more,0.33
140030,0.03,0.18,0.79,0.09,0.27,0.64,0.05,0.21,0.74,0.07,0.26,0.67,0.85,0.15,0.06,0.21,0.73,0.03,0.19,0.78,300 or more,0.32
140032,0.04,0.16,0.80,0.09,0.28,0.63,0.06,0.24,0.70,0.11,0.36,0.53,0.84,0.16,0.08,0.27,0.65,0.03,0.30,0.67,300 or more,0.40
140033,,,,,,,,,,,,,,,,,,,,,Not Available,
140034,0.03,0.09,0.88,0.06,0.12,0.82,0.05,0.18,0.77,0.07,0.29,0.64,0.90,0.10,0.05,0.13,0.82,0.03,0.19,0.78,300 or more,0.32
140040,0.03,0.14,0.83,0.13,0.28,0.59,0.07,0.25,0.68,0.14,0.32,0.54,0.85,0.15,0.13,0.28,0.59,0.09,0.32,0.59,300 or more,0.34
