provider_id,doc_comm_bad,doc_com_ok,doc_com_good,help_timingbad,help_timing_ok,help_timing_good,pain_ctrl_bad,pain_ctrl_ok,pain_ctrl_good,quiet_no,quiet_usu,quiet_always,recovery_info_yes,recovery_info_no,rating_low,rating_mid,rating_high,recommend_no,recommend_ok,recommend_y,num_surveys,survey_response_rate
10001,0.02,0.14,0.84,0.14,0.27,0.59,0.06,0.23,0.71,0.05,0.24,0.71,0.85,0.15,0.07,0.20,0.73,0.04,0.19,0.77,300 or more,0.33
10005,0.01,0.11,0.88,0.09,0.23,0.68,0.05,0.19,0.76,0.05,0.20,0.75,0.87,0.13,0.06,0.16,0.78,0.04,0.25,0.71,300 or more,0.40
10006,0.04,0.12,0.84,0.13,0.29,0.58,0.08,0.26,0.66,0.07,0.28,0.65,0.78,0.22,0.15,0.33,0.52,0.08,0.38,0.54,300 or more,0.30
10007,0.03,0.12,0.85,0.16,0.21,0.63,0.11,0.24,0.65,0.09,0.27,0.64,0.72,0.28,0.13,0.26,0.61,0.10,0.31,0.59,Between 100 and 299,0.31
10008,0.00,0.06,0.94,0.17,0.18,0.65,0.13,0.23,0.64,0.11,0.23,0.66,0.79,0.21,0.11,0.21,0.68,0.08,0.26,0.66,Between 100 and 299,0.28
10011,0.03,0.15,0.82,0.10,0.25,0.65,0.08,0.23,0.69,0.08,0.29,0.63,0.82,0.18,0.07,0.23,0.70,0.05,0.21,0.74,300 or more,0.30
10012,0.03,0.14,0.83,0.08,0.22,0.70,0.07,0.20,0.73,0.07,0.26,0.67,0.81,0.19,0.07,0.23,0.70,0.05,0.33,0.62,300 or more,0.28
10016,0.03,0.15,0.82,0.13,0.28,0.59,0.07,0.24,0.69,0.08,0.26,0.66,0.82,0.18,0.08,0.20,0.72,0.05,0.21,0.74,300 or more,0.31
10018,0.02,0.08,0.90,0.18,0.03,0.79,0.01,0.15,0.84,0.00,0.18,0.82,0.79,0.21,0.01,0.05,0.94,0.01,0.01,0.98,Fewer than 100,0.42
10019,0.01,0.14,0.85,0.07,0.24,0.69,0.05,0.23,0.72,0.04,0.24,0.72,0.86,0.14,0.07,0.19,0.74,0.04,0.19,0.77,300 or more,0.30
10021,0.04,0.12,0.84,0.16,0.25,0.59,0.06,0.19,0.75,0.08,0.26,0.66,0.75,0.25,0.09,0.30,0.61,0.07,0.36,0.57,Between 100 and 299,0.27
10022,0.01,0.05,0.94,0.04,0.15,0.81,0.02,0.14,0.84,0.03,0.16,0.81,0.91,0.09,0.03,0.15,0.82,0.02,0.22,0.76,Between 100 and 299,0.34
10023,0.03,0.13,0.84,0.13,0.20,0.67,0.10,0.21,0.69,0.07,0.23,0.70,0.82,0.18,0.08,0.21,0.71,0.04,0.21,0.75,300 or more,0.35
10024,0.02,0.11,0.87,0.12,0.22,0.66,0.08,0.20,0.72,0.08,0.22,0.70,0.82,0.18,0.07,0.22,0.71,0.05,0.19,0.76,300 or more,0.30
10025,0.02,0.11,0.87,0.11,0.19,0.70,0.07,0.23,0.70,0.11,0.28,0.61,0.83,0.17,0.12,0.23,0.65,0.07,0.32,0.61,300 or more,0.29
10027,0.01,0.03,0.96,0.03,0.12,0.85,0.09,0.13,0.78,0.00,0.09,0.91,0.78,0.22,0.03,0.14,0.83,0.04,0.19,0.77,Fewer than 100,0.37
10029,0.01,0.12,0.87,0.09,0.22,0.69,0.07,0.21,0.72,0.04,0.21,0.75,0.89,0.11,0.04,0.19,0.77,0.02,0.17,0.81,300 or more,0.35
10032,0.06,0.09,0.85,0.09,0.18,0.73,0.09,0.20,0.71,0.07,0.20,0.73,0.83,0.17,0.08,0.23,0.69,0.06,0.25,0.69,Between 100 and 299,0.38
10033,0.03,0.13,0.84,0.10,0.24,0.66,0.04,0.22,0.74,0.07,0.23,0.70,0.84,0.16,0.04,0.16,0.80,0.01,0.14,0.85,300 or more,0.30
