drg_id,provider_state,total_discharges,avg_covered_charges,avg_total_payments
039,AK,23,34805.13,8401.96
039,AL,879,29855.35,5857.18
039,AR,652,24697.36,5932.61
039,AZ,606,33581.32,7034.48
039,CA,1715,54275.09,8251.97
039,CO,255,33554.16,6911.51
039,CT,384,20990.80,8144.01
039,DC,47,44919.38,9241.60
039,DE,144,21781.16,7341.52
039,FL,2847,38464.45,6145.55
039,GA,1015,25590.07,6384.63
039,HI,24,27809.96,10982.04
039,IA,518,22329.88,6127.61
039,ID,113,18150.97,6457.24
039,IL,1240,32784.12,7206.50
039,IN,1078,26888.44,6597.55
039,KS,594,21765.31,5879.71
039,KY,728,22308.06,6347.61
039,LA,743,31186.65,6361.87
039,MA,732,24744.59,8585.85
039,MD,706,8908.99,8408.52
039,ME,205,14048.11,7104.25
039,MI,1325,21635.10,7151.65
039,MN,445,24449.33,7485.43
039,MO,1030,24273.88,6086.78
039,MS,588,23595.94,6180.79
039,MT,174,18649.96,6421.49
039,NC,1141,22006.87,7052.06
039,ND,178,13430.51,6375.63
039,NE,318,17836.87,6373.16
039,NH,216,23541.24,7159.78
039,NJ,819,34441.39,7362.55
039,NM,128,31715.59,6129.29
039,NV,311,42325.02,7095.19
039,NY,1336,21831.88,7977.95
039,OH,1186,28956.74,6615.51
039,OK,463,23024.70,6240.19
039,OR,354,22563.86,7089.51
039,PA,1003,32782.51,6750.95
039,RI,76,24314.04,8430.43
039,SC,721,33960.04,6686.82
039,SD,156,21771.36,6706.36
039,TN,986,24046.69,6271.45
039,TX,2871,29042.30,6490.02
039,UT,109,20488.03,6928.33
039,VA,827,26379.24,6764.24
039,VT,57,17934.35,9290.81
039,WA,531,31356.77,7665.87
039,WI,609,24486.27,6905.32
039,WV,356,16943.56,5961.58
039,WY,44,26643.98,8696.91
057,AK,11,31858.55,8799.00
057,AL,575,24311.09,5340.84
057,AR,247,16840.74,6058.55
057,AZ,386,28740.92,6415.61
057,CA,1469,45639.35,8555.32
057,CO,254,25472.59,6068.83
057,CT,397,24671.21,7989.59
057,DC,109,28468.06,8791.71
057,DE,114,18125.19,7337.11
057,FL,2834,26940.73,5773.73
057,GA,672,19316.45,6333.06
057,HI,19,27601.00,9585.37
057,IA,188,17370.89,6084.54
057,ID,12,15237.58,5410.33
057,IL,1972,22184.61,6365.62
057,IN,833,17801.35,6061.85
057,KS,226,26804.28,5898.95
057,KY,519,17253.99,6077.28
057,LA,237,20562.62,5993.03
057,MA,1065,16357.80,7647.42
057,MD,1280,11246.36,10592.70
057,ME,141,18683.11,6939.31
057,MI,1242,15305.35,6697.64
057,MN,491,21160.97,6830.41
057,MO,675,18442.06,5858.47
057,MS,332,19666.99,5937.95
057,MT,63,19374.59,6297.62
057,NC,1067,18879.76,6931.47
057,ND,19,15473.68,5746.47
057,NE,102,17331.22,5899.84
057,NH,143,17930.71,6133.59
057,NJ,1636,45210.78,6988.50
057,NM,72,21191.35,7512.46
057,NV,160,47524.39,6677.74
057,NY,3105,28513.60,9062.35
057,OH,1301,18084.77,5977.37
057,OK,224,21587.60,5813.24
057,OR,56,21791.02,8112.96
057,PA,1655,29683.69,6655.37
057,RI,62,25141.92,7329.89
057,SC,548,24236.51,6344.88
057,SD,40,18765.28,6348.23
057,TN,496,21527.77,5762.07
057,TX,1423,29256.86,6351.04
057,UT,28,22005.29,8343.61
057,VA,770,19235.87,6158.54
057,VT,28,18529.39,9987.61
057,WA,162,22460.01,6646.42
057,WI,537,17786.36,6651.70
057,WV,200,13894.30,5685.57
057,WY,15,16099.87,8139.87
064,AK,45,49669.49,19647.91
064,AL,1271,45562.34,11294.96
064,AR,659,31613.52,10899.66
064,AZ,892,46918.51,13032.08
064,CA,5260,95325.99,17327.14
064,CO,471,57286.37,12762.89
064,CT,856,46661.32,16241.35
064,DC,277,63279.59,17980.07
064,DE,289,32748.18,14354.83
064,FL,4194,58735.77,12156.80
064,GA,1779,42912.46,12604.31
064,HI,230,46881.43,16912.09
064,IA,475,32823.56,11989.88
064,ID,179,25042.60,11855.70
064,IL,2881,48703.91,13178.89
064,IN,1535,34657.63,11956.27
064,KS,521,45430.66,11402.99
064,KY,1205,38267.85,12752.87
064,LA,915,47051.98,12236.15
064,MA,1433,33644.13,15511.25
064,MD,1657,18485.21,17395.40
064,ME,255,28329.73,13029.48
064,MI,2604,32644.75,13418.96
064,MN,822,36905.61,13761.45
064,MO,1656,40879.64,11994.33
064,MS,857,39279.75,11774.01
064,MT,117,24630.57,12181.14
064,NC,2609,33639.66,13385.00
064,ND,162,25663.84,11857.28
064,NE,286,39602.73,12941.26
064,NH,202,28128.02,12542.10
064,NJ,2146,92372.51,14489.73
064,NM,210,43285.87,15421.44
064,NV,419,82941.66,13363.37
064,NY,3553,55433.65,18454.56
064,OH,2357,42641.97,12684.25
064,OK,772,43780.43,11804.23
064,OR,434,37245.90,13997.91
064,PA,2713,59761.80,13211.52
064,RI,181,45347.57,16609.07
064,SC,1212,48429.52,13435.44
064,SD,153,39455.44,13416.69
064,TN,1919,39630.50,11487.35
064,TX,4547,58647.43,12878.77
064,UT,228,30722.25,13488.59
064,VA,2094,35479.89,12362.67
064,VT,104,24603.04,16956.43
064,WA,1155,41719.00,13527.52
064,WI,825,35547.53,13322.21
064,WV,455,31270.74,12913.70
064,WY,22,40289.27,16400.00
065,AK,152,38354.84,12093.41
065,AL,2404,27349.85,6691.21
065,AR,1463,18642.79,6645.60
065,AZ,1581,32022.23,7903.43
065,CA,7840,55669.31,9836.85
065,CO,929,33030.33,7104.55
065,CT,1334,29179.23,9446.29
065,DC,385,36912.67,10567.02
065,DE,456,21224.32,8303.94
