provider_id,N_P_D_S_T_C,R_D_S_T_C,L_E_D_S_T_C,H_E_D_S_T_C,N_P_C_L,R_C_L,L_E_C_L,H_E_C_L,N_P_B_C,R_B_C
10001,157,140.58,106.16,175,15149,0.32,0.08,0.56,4941,1.47
10005,29,123.92,74.29,173.55,4467,0.3,0,0.65,689,4.7
10006,110,146.33,106.95,185.71,9962,0.5,0.23,0.77,2805,3.22
10007,10,Not Available,Not Available,Not Available,2176,0.3,0,0.71,173,6.11
10008,Not Available,Not Available,Not Available,Not Available,673,0.33,0,0.76,28,4.52
10011,173,143.09,106.09,180.09,10726,0.5,0.23,0.77,3776,4.58
10012,25,124.21,74.78,173.64,3238,0.33,0,0.7,753,2.5
10016,91,145.74,104.58,186.9,6551,0.21,0,0.5,2239,3.98
10018,3,Not Available,Not Available,Not Available,93,0.34,0,0.77,73,4.36
10019,79,122.64,78.6,166.68,5638,0.27,0,0.6,1535,6.01
10021,8,Not Available,Not Available,Not Available,1559,0.27,0,0.66,166,5.95
10022,Not Available,Not Available,Not Available,Not Available,1116,0.32,0,0.75,68,4.43
10023,170,155.29,121.72,188.86,11283,0.24,0,0.49,4551,2.59
10024,95,124.56,83.28,165.84,9776,0.26,0,0.53,2888,2.12
10025,11,Not Available,Not Available,Not Available,2544,0.26,0,0.63,333,2.31
10027,Not Available,Not Available,Not Available,Not Available,575,0.34,0,0.77,Not Available,Not Available
10029,145,141.06,104.33,177.79,11112,0.33,0.08,0.58,4139,2.39
10032,Not Available,Not Available,Not Available,Not Available,695,0.32,0,0.75,3,Not Available
10033,594,157.99,137.59,178.39,24057,0.71,0.51,0.91,10804,5.36
10034,7,Not Available,Not Available,Not Available,1450,0.3,0,0.71,103,4.11
10035,54,165.41,120.76,210.06,6191,0.25,0,0.56,1550,2.81
10036,19,Not Available,Not Available,Not Available,3265,0.27,0,0.66,540,5.08
10038,34,115.7,69.19,162.21,4672,0.35,0.02,0.68,1008,4.62
10039,391,133.14,109.54,156.74,28969,0.24,0.06,0.42,10905,3.58
10040,193,105.05,72.14,137.96,8787,0.66,0.39,0.93,2699,4.71
10043,Not Available,Not Available,Not Available,Not Available,528,0.32,0,0.75,Not Available,Not Available
10044,Not Available,Not Available,Not Available,Not Available,1065,0.32,0,0.75,35,4.51
10045,6,Not Available,Not Available,Not Available,1398,0.31,0,0.72,51,5.73
10046,108,123.37,83.07,163.67,8002,0.16,0,0.45,1795,3.85
10047,Not Available,Not Available,Not Available,Not Available,1520,0.32,0,0.75,Not Available,Not Available
10049,6,Not Available,Not Available,Not Available,3465,0.37,0,0.76,575,3.97
10050,Not Available,Not Available,Not Available,Not Available,1279,0.31,0,0.72,64,4.44
10051,Not Available,Not Available,Not Available,Not Available,612,0.34,0,0.77,Not Available,Not Available
10052,Not Available,Not Available,Not Available,Not Available,965,0.33,0,0.76,Not Available,Not Available
10054,19,Not Available,Not Available,Not Available,3304,0.35,0,0.72,372,5.77
10055,97,144.56,102.81,186.31,9736,0.23,0,0.5,3679,3.1
10056,227,133.44,101.22,165.66,16369,0.49,0.25,0.73,6938,5.43
10058,Not Available,Not Available,Not Available,Not Available,269,0.34,0,0.77,Not Available,Not Available
10059,Not Available,Not Available,Not Available,Not Available,1876,0.42,0.01,0.83,11,Not Available
10061,18,Not Available,Not Available,Not Available,3883,0.28,0,0.67,273,7.01
10062,5,Not Available,Not Available,Not Available,1642,0.31,0,0.72,94,4.28
10065,35,92.86,44.29,141.43,3068,0.43,0.06,0.8,659,5
10066,Not Available,Not Available,Not Available,Not Available,571,0.32,0,0.75,3,Not Available
10069,Not Available,Not Available,Not Available,Not Available,1469,0.32,0,0.75,65,4.39
10073,Not Available,Not Available,Not Available,Not Available,1249,0.32,0,0.75,11,Not Available
10078,155,132.64,97.69,167.59,9964,0.24,0,0.49,3286,4.89
10079,15,Not Available,Not Available,Not Available,3284,0.33,0,0.7,381,6.84
10083,44,115.25,68.52,161.98,4869,0.44,0.09,0.79,922,2.86
10085,86,115.24,75.63,154.85,6444,0.36,0.05,0.67,1490,3.2
10086,13,Not Available,Not Available,Not Available,2423,0.29,0,0.68,362,5.1
10087,46,176.12,129.32,222.92,2210,0.63,0.24,1.02,902,6.26
10089,27,115.6,68.32,162.88,4605,0.21,0,0.56,1042,2.48
10090,117,138.33,99.21,177.45,9259,0.44,0.17,0.71,3465,5.93
10091,Not Available,Not Available,Not Available,Not Available,645,0.33,0,0.76,14,Not Available
10092,399,117.05,90.81,143.29,21658,0.38,0.16,0.6,5586,6.16
10095,Not Available,Not Available,Not Available,Not Available,583,0.33,0,0.76,Not Available,Not Available
10097,Not Available,Not Available,Not Available,Not Available,1381,0.31,0,0.72,Not Available,Not Available
10099,8,Not Available,Not Available,Not Available,2186,0.3,0,0.71,129,5.18
10100,73,146.15,104.09,188.21,5702,0.33,0.04,0.62,2481,4.31
10101,10,Not Available,Not Available,Not Available,2266,0.28,0,0.67,208,5.88
10102,Not Available,Not Available,Not Available,Not Available,259,0.34,0,0.77,Not Available,Not Available
10103,259,124.73,95.29,154.17,11258,0.46,0.22,0.7,4487,4
10104,219,138.31,106.03,170.59,10302,0.33,0.08,0.58,4083,5.81
10108,7,Not Available,Not Available,Not Available,1759,0.3,0,0.71,87,4.06
10109,4,Not Available,Not Available,Not Available,1321,0.31,0,0.72,65,4.17
10110,Not Available,Not Available,Not Available,Not Available,962,0.33,0,0.76,Not Available,Not Available
10112,Not Available,Not Available,Not Available,Not Available,2708,0.3,0,0.71,207,3.74
10113,269,163.02,134.82,191.22,21351,0.43,0.21,0.65,7200,9.17
10114,63,155.25,111.91,198.59,4713,0.57,0.24,0.9,1013,4.06
10118,67,110.13,66.46,153.8,5958,0.44,0.13,0.75,1039,6.39
10120,3,Not Available,Not Available,Not Available,1578,0.43,0.02,0.84,41,4.52
10125,3,Not Available,Not Available,Not Available,1968,0.31,0,0.72,65,5.76
10126,9,Not Available,Not Available,Not Available,1784,0.3,0,0.71,155,3.89
10128,Not Available,Not Available,Not Available,Not Available,718,0.33,0,0.76,7,Not Available
10129,9,Not Available,Not Available,Not Available,883,0.32,0,0.75,114,4.01
10130,Not Available,Not Available,Not Available,Not Available,992,0.43,0,0.86,5,Not Available
10131,76,135.11,92.68,177.54,7868,0.28,0,0.59,2621,4.8
10137,3,Not Available,Not Available,Not Available,631,0.33,0,0.76,115,5.45
10138,Not Available,Not Available,Not Available,Not Available,442,0.34,0,0.77,Not Available,Not Available
